pk,cod,des_database,des_csv,provincia_database,provincia_csv,fine_validita_csv
759,403016031,BONATE DI SOTTO,BONATE SOTTO,BG,BG,
820,401001032,BORGONE DI SUSA,BORGONE SUSA,TO,TO,
2587,404022079,DRO',DRO,TN,TN,
2993,420091027,GALTELLI,GALTELLI',NU,NU,
4175,417077016,MONTALBANO IONICO,MONTALBANO JONICO,MT,MT,
4261,412058060,MONTECOMPATRI,MONTE COMPATRI,RM,RM,
4342,414094029,MONTENERO VALCOCCHIARA,MONTENERO VAL COCCHIARA,IS,IS,
5593,406030090,REANA DEL ROIALE,REANA DEL ROJALE,UD,UD,
6399,418080080,SANT'ALESSIO D'ASPROMONTE,SANT'ALESSIO IN ASPROMONTE,RC,RC,
6624,417077031,SCANZANO IONICO,SCANZANO JONICO,MT,MT,
6816,418079133,SIMERI E CRICHI,SIMERI CRICHI,CZ,CZ,
7188,415064109,TORELLA DE' LOMBARDI,TORELLA DEI LOMBARDI,AV,AV,
