Codice,Descrizione,Provincia,DataFineVal
401001501,ABBADIA ALPINA,TO,31/12/1983 00:00:00
403015699,ABBADIA CERRETO,MI,05/03/1992 00:00:00
403013663,ABBADIA LARIANA,CO,05/03/1992 00:00:00
403013501,ABBADIA SOPRA ADDA,CO,31/12/1983 00:00:00
420092512,ABBASANTA,CA,15/07/1974 00:00:00
450500501,ABBAZIA,FU,15/09/1947 00:00:00
403012501,ABBIATEGUAZZONE,VA,31/12/1983 00:00:00
409047001,ABETONE,PT,31/12/2016 00:00:00
404021501,ACERETO,BZ,31/12/1983 00:00:00
403014501,ACQUA,SO,31/12/1983 00:00:00
411043001,ACQUACANINA,MC,31/12/2016 00:00:00
403017501,ACQUALUNGA,BS,31/12/1983 00:00:00
403019501,ACQUALUNGA BADONA,CR,31/12/1983 00:00:00
418079506,ACQUARO,CZ,05/03/1992 00:00:00
403013502,ACQUATE,CO,31/12/1983 00:00:00
414070503,ACQUAVIVA D'ISERNIA,CB,02/03/1970 00:00:00
403015501,AFFORI,MI,31/12/1983 00:00:00
401003501,AGARO,NO,31/12/1983 00:00:00
403015502,AGLIATE,MI,31/12/1983 00:00:00
401003502,AGNELLENGO,NO,31/12/1983 00:00:00
401002501,AGNONA,VC,31/12/1983 00:00:00
414070504,AGNONE,CB,02/03/1970 00:00:00
401003503,AGRANO,NO,31/12/1983 00:00:00
403015003,AGRATE BRIANZA,MI,29/06/2009 00:00:00
404022501,AGRONE,TN,31/12/1983 00:00:00
406031501,AIBA,GO,15/09/1947 00:00:00
403015004,AICURZIO,MI,29/06/2009 00:00:00
420092513,AIDOMAGGIORE,CA,15/07/1974 00:00:00
406031502,AIDUSSINA,GO,15/09/1947 00:00:00
418078501,AIELLO IN CALABRIA,CS,31/12/1983 00:00:00
401002528,AILOCHE,VC,05/03/1992 00:00:00
403013664,AIRUNO,CO,05/03/1992 00:00:00
403013503,AIZURRO,CO,31/12/1983 00:00:00
420092514,ALBAGIARA,CA,15/07/1974 00:00:00
415061501,ALBANOVA,CE,31/12/1983 00:00:00
401004501,ALBARETTO VALLE DI MACRA,CN,31/12/1983 00:00:00
406032501,ALBARO VESCOVA,TS,31/12/1983 00:00:00
403013504,ALBATE,CO,31/12/1983 00:00:00
403016501,ALBEGNO,BG,31/12/1983 00:00:00
406032502,ALBER DI SESANA,TS,15/09/1947 00:00:00
404021502,ALBES,BZ,31/12/1983 00:00:00
403013505,ALBESE,CO,31/12/1983 00:00:00
409045501,ALBIANO MAGRA,MS,31/12/1983 00:00:00
403015006,ALBIATE,MI,29/06/2009 00:00:00
403013506,ALBOGASIO,CO,31/12/1983 00:00:00
401003504,ALBOGNO,NO,31/12/1983 00:00:00
450501501,ALBONA,PL,15/09/1947 00:00:00
403012502,ALBUSCIAGO,VA,31/12/1983 00:00:00
420092515,ALES,CA,15/07/1974 00:00:00
403019503,ALFIANO ED UNITI,CR,31/12/1983 00:00:00
420092516,ALLAI,CA,15/07/1974 00:00:00
404021503,ALLIZ,BZ,31/12/1983 00:00:00
401004502,ALMA,CN,31/12/1983 00:00:00
404022502,ALMAZZAGO,TN,31/12/1983 00:00:00
403016589,ALME' CON VILLA,BG,27/08/1951 00:00:00
403017502,ALONE,BS,31/12/1983 00:00:00
411044501,ALTETA,AP,31/12/1983 00:00:00
411044003,ALTIDONA,AP,11/07/2009 00:00:00
403016502,ALZANO MAGGIORE,BG,31/12/1983 00:00:00
403016503,ALZANO SOPRA,BG,31/12/1983 00:00:00
401003505,ALZATE CON LINDUNO,NO,31/12/1983 00:00:00
411044004,AMANDOLA,AP,11/07/2009 00:00:00
404022004,AMBLAR,TN,31/12/2015 00:00:00
404022503,ANDOGNO,TN,31/12/1983 00:00:00
401004503,ANDONNO,CN,31/12/1983 00:00:00
401002502,ANDORNO CACCIORNA,VC,31/12/1983 00:00:00
401002529,ANDORNO MICCA,VC,05/03/1992 00:00:00
406030522,ANDREIS,UD,29/02/1968 00:00:00
416072005,ANDRIA,BA,26/07/2009 00:00:00
403017503,ANFURRO,BS,31/12/1983 00:00:00
406031503,ANICOVA CORADA,GO,15/09/1947 00:00:00
403013665,ANNONE DI BRIANZA,CO,05/03/1992 00:00:00
404021504,ANTERSELVA,BZ,31/12/1983 00:00:00
450501502,ANTIGNANA,PL,15/09/1947 00:00:00
401003613,ANTRONA SCHIERANCO,NO,29/04/1992 00:00:00
401003506,ANTRONAPIANA,NO,31/12/1983 00:00:00
401003507,ANZINO,NO,31/12/1983 00:00:00
401003614,ANZOLA D'OSSOLA,NO,29/04/1992 00:00:00
407010501,APPARIZIONE,GE,31/12/1983 00:00:00
450500502,APRIANO,FU,15/09/1947 00:00:00
409045502,APUANIA,MS,31/12/1983 00:00:00
401003508,ARA,NO,31/12/1983 00:00:00
401002503,ARANCO,VC,31/12/1983 00:00:00
406030523,ARBA,UD,29/02/1968 00:00:00
403012503,ARBIZZO,VA,31/12/1983 00:00:00
420092517,ARBOREA,CA,15/07/1974 00:00:00
403015503,ARCAGNA,MI,31/12/1983 00:00:00
403015504,ARCAGNANO,MI,31/12/1983 00:00:00
403013507,ARCELLASCO,CO,31/12/1983 00:00:00
403015008,ARCORE,MI,29/06/2009 00:00:00
403012504,ARCUMEGGIA,VA,31/12/1983 00:00:00
420092518,ARDAULI,CA,15/07/1974 00:00:00
403012505,ARDENA,VA,31/12/1983 00:00:00
403019504,ARDOLE SAN MARINO,CR,31/12/1983 00:00:00
418079507,ARENA,CZ,05/03/1992 00:00:00
403018501,ARGINE PO,PV,31/12/1983 00:00:00
415061502,ARIENZO SANFELICE,CE,31/12/1983 00:00:00
413066501,ARISCHIA,AQ,31/12/1983 00:00:00
420092501,ARIXI,CA,31/12/1983 00:00:00
401003615,ARIZZANO,NO,29/04/1992 00:00:00
401003509,ARIZZANO INFERIORE,NO,31/12/1983 00:00:00
401003510,ARIZZANO SUPERIORE,NO,31/12/1983 00:00:00
403012506,ARMIO,VA,31/12/1983 00:00:00
403017504,ARMO,BS,31/12/1983 00:00:00
404022504,ARNAGO,TN,31/12/1983 00:00:00
403012507,ARNATE,VA,31/12/1983 00:00:00
401003616,AROLA,NO,29/04/1992 00:00:00
403012508,AROLO,VA,31/12/1983 00:00:00
450501503,ARSIA,PL,15/09/1947 00:00:00
401003511,ARTO,NO,31/12/1983 00:00:00
406093003,ARZENE,PN,31/12/2014 00:00:00
406030524,ARZENE,UD,29/02/1968 00:00:00
407008501,ARZENO D'ONEGLIA,IM,31/12/1983 00:00:00
403013508,ASNAGO,CO,31/12/1983 00:00:00
420092519,ASSOLO,CA,15/07/1974 00:00:00
420092520,ASUNI,CA,15/07/1974 00:00:00
415063515,ATELLA DI NAPOLI,NA,29/03/1946 00:00:00
415061503,ATELLA DI NAPOLI,CE,31/12/1983 00:00:00
411141003,AUDITORE,PU,31/12/2018 00:00:00
401003617,AURANO,NO,29/04/1992 00:00:00
406032503,AUREMO DI SOPRA,TS,15/09/1947 00:00:00
406032504,AURISINA,TS,31/12/1983 00:00:00
401003512,AUZATE,NO,31/12/1983 00:00:00
406031504,AUZZA,GO,15/09/1947 00:00:00
403017505,AVENONE,BS,31/12/1983 00:00:00
405023501,AVESA,VR,31/12/1983 00:00:00
406030525,AVIANO,UD,29/02/1968 00:00:00
