pk,cod,des,pr,lastupdate,DataFineVal
27,411041001,ACQUALAGNA,PS,2021-09-01 12:58:33,31/12/1998 00:00:00
32,416075001,ACQUARICA DEL CAPO,LE,2021-09-01 12:58:33,14/05/2019 00:00:00
98,405025002,ALANO DI PIAVE,BL,2021-09-01 12:58:34,21/01/2024 00:00:00
110,403018002,ALBAREDO ARNABOLDI,PV,2021-09-01 12:58:34,17/11/2023 00:00:00
161,401001005,ALICE SUPERIORE,TO,2021-09-01 12:58:34,31/12/2018 00:00:00
171,401006006,ALLUVIONI CAMBIO',AL,2021-09-01 12:58:34,31/12/2017 00:00:00
271,411041002,APECCHIO,PS,2021-09-01 12:58:35,31/12/1998 00:00:00
403,411041003,AUDITORE,PS,2021-09-01 12:58:36,31/12/1998 00:00:00
461,408040001,BAGNO DI ROMAGNA,FO,2021-09-01 12:58:37,15/04/1992 00:00:00
510,405024011,BARBARANO VICENTINO,VI,2021-09-01 12:58:37,16/02/2018 00:00:00
515,409048003,BARBERINO VAL D'ELSA,FI,2021-09-01 12:58:37,31/12/2018 00:00:00
522,403012009,BARDELLO,VA,2021-09-01 12:58:37,31/12/2022 00:00:00
593,411041005,BELFORTE ALL'ISAURO,PS,2021-09-01 12:58:38,31/12/1998 00:00:00
651,408038002,BERRA,FE,2021-09-01 12:58:38,31/12/2018 00:00:00
652,408040003,BERTINORO,FO,2021-09-01 12:58:38,15/04/1992 00:00:00
694,403020004,BIGARELLO,MN,2021-09-01 12:58:38,31/12/2018 00:00:00
788,408040004,BORGHI,FO,2021-09-01 12:58:39,15/04/1992 00:00:00
797,411041006,BORGO PACE,PS,2021-09-01 12:58:39,31/12/1998 00:00:00
813,403020006,BORGOFRANCO SUL PO,MN,2021-09-01 12:58:40,31/12/2018 00:00:00
886,403012018,BREGANO,VA,2021-09-01 12:58:40,31/12/2022 00:00:00
889,401002019,BREIA,VC,2021-09-01 12:58:40,31/12/2017 00:00:00
909,404022027,BREZ,TN,2021-09-01 12:58:40,31/12/2019 00:00:00
1016,403019008,CA' D'ANDREA,CR,2021-09-01 12:58:41,31/12/2018 00:00:00
1028,403012028,CADREZZATE,VA,2021-09-01 12:58:41,14/02/2019 00:00:00
1032,411041007,CAGLI,PS,2021-09-01 12:58:41,31/12/1998 00:00:00
1037,403013038,CAGNO,CO,2021-09-01 12:58:41,31/12/2018 00:00:00
1038,404022030,CAGNO',TN,2021-09-01 12:58:41,31/12/2019 00:00:00
1085,401005014,CALLIANO,AT,2021-09-01 12:58:42,11/08/2022 00:00:00
1116,403098007,CAMAIRAGO,LO,2021-09-01 12:58:42,31/12/2017 00:00:00
1133,408033009,CAMINATA,PC,2021-09-01 12:58:42,31/12/2017 00:00:00
1140,401004036,CAMO,CN,2021-09-01 12:58:42,31/12/2018 00:00:00
1191,405024023,CAMPOLONGO SUL BRENTA,VI,2021-09-01 12:58:43,29/01/2019 00:00:00
1206,403018026,CAMPOSPINOSO,PV,2021-09-01 12:58:43,17/11/2023 00:00:00
1230,403018028,CANEVINO,PV,2021-09-01 12:58:43,31/12/2018 00:00:00
1260,411041008,CANTIANO,PS,2021-09-01 12:58:43,31/12/1998 00:00:00
1267,415065025,CAPACCIO,SA,2021-09-01 12:58:43,09/06/2016 00:00:00
1330,404022041,CARANO,TN,2021-09-01 12:58:44,31/12/2019 00:00:00
1344,403020009,CARBONARA DI PO,MN,2021-09-01 12:58:44,31/12/2018 00:00:00
1351,405028022,CARCERI,PD,2021-09-01 12:58:44,21/01/2024 00:00:00
1401,407008013,CARPASIO,IM,2021-09-01 12:58:44,31/12/2017 00:00:00
1402,411041009,CARPEGNA,PS,2021-09-01 12:58:44,31/12/1998 00:00:00
1425,411041010,CARTOCETO,PS,2021-09-01 12:58:45,31/12/1998 00:00:00
1507,403013050,CASASCO D'INTELVI,CO,2021-09-01 12:58:45,31/12/2017 00:00:00
1541,401005020,CASORZO,AT,2021-09-01 12:58:45,02/03/2022 00:00:00
1551,401006042,CASSANO SPINOLA,AL,2021-09-01 12:58:46,31/12/2017 00:00:00
1641,404022046,CASTELFONDO,TN,2021-09-01 12:58:46,31/12/2019 00:00:00
1666,401006045,CASTELLANIA,AL,2021-09-01 12:58:47,30/05/2019 00:00:00
1668,401004048,CASTELLAR,CN,2021-09-01 12:58:47,31/12/2018 00:00:00
1780,403013060,CASTIGLIONE D'INTELVI,CO,2021-09-01 12:58:47,31/12/2017 00:00:00
1812,408040005,CASTROCARO TERME E TERRA DEL SOLE,FO,2021-09-01 12:58:48,15/04/1992 00:00:00
1833,403098016,CAVACURTA,LO,2021-09-01 12:58:48,31/12/2017 00:00:00
1837,401103020,CAVAGLIO-SPOCCIA,VB,2021-09-01 12:58:48,31/12/2018 00:00:00
1898,401002038,CELLIO,VC,2021-09-01 12:58:48,31/12/2017 00:00:00
1955,401096017,CERRETO CASTELLO,BI,2021-09-01 12:58:49,31/12/2018 00:00:00
2000,408040007,CESENA,FO,2021-09-01 12:58:49,15/04/1992 00:00:00
2001,408040008,CESENATICO,FO,2021-09-01 12:58:49,15/04/1992 00:00:00
2124,405024031,CISMON DEL GRAPPA,VI,2021-09-01 12:58:50,29/01/2019 00:00:00
2159,408040009,CIVITELLA DI ROMAGNA,FO,2021-09-01 12:58:51,15/04/1992 00:00:00
2174,404022063,CLOZ,TN,2021-09-01 12:58:51,31/12/2019 00:00:00
2232,411041069,COLLI AL METAURO,PS,2021-09-01 12:58:51,09/06/2025 00:00:00
2282,405024033,CONCO,VI,2021-09-01 12:58:52,19/02/2019 00:00:00
2325,418078044,CORIGLIANO CALABRO,CS,2021-09-01 12:58:52,30/03/2018 00:00:00
2407,405023030,COSTERMANO,VR,2021-09-01 12:58:53,23/12/2016 00:00:00
2435,405026024,CRESPANO DEL GRAPPA,TV,2021-09-01 12:58:53,29/01/2019 00:00:00
2460,401006064,CUCCARO MONFERRATO,AL,2021-09-01 12:58:53,31/01/2019 00:00:00
2486,401103027,CURSOLO-ORASSO,VB,2021-09-01 12:58:53,31/12/2018 00:00:00
2500,404022070,DAIANO,TN,2021-09-01 12:58:54,31/12/2019 00:00:00
2578,408040011,DOVADOLA,FO,2021-09-01 12:58:54,15/04/1992 00:00:00
2586,403019042,DRIZZONA,CR,2021-09-01 12:58:54,31/12/2018 00:00:00
2652,404022080,FAEDO,TN,2021-09-01 12:58:55,31/12/2019 00:00:00
2673,401103030,FALMENTA,VB,2021-09-01 12:58:55,31/12/2018 00:00:00
2679,411041013,FANO,PS,2021-09-01 12:58:55,31/12/1998 00:00:00
2708,403020023,FELONICA,MN,2021-09-01 12:58:55,28/02/2017 00:00:00
2716,411041014,FERMIGNANO,PS,2021-09-01 12:58:55,31/12/1998 00:00:00
2782,406030038,FIUMICELLO,UD,2021-09-01 12:58:56,31/01/2018 00:00:00
2810,404022088,FONDO,TN,2021-09-01 12:58:56,31/12/2019 00:00:00
2844,408040012,FORLI',FO,2021-09-01 12:58:56,15/04/1992 00:00:00
2846,408040013,FORLIMPOPOLI,FO,2021-09-01 12:58:56,15/04/1992 00:00:00
2854,408038009,FORMIGNANA,FE,2021-09-01 12:58:57,31/12/2018 00:00:00
2878,411041015,FOSSOMBRONE,PS,2021-09-01 12:58:57,31/12/1998 00:00:00
2916,411041016,FRATTE ROSA,PS,2021-09-01 12:58:57,31/12/1998 00:00:00
2927,411041017,FRONTINO,PS,2021-09-01 12:58:57,31/12/1998 00:00:00
2928,411041018,FRONTONE,PS,2021-09-01 12:58:57,31/12/1998 00:00:00
2950,411041019,GABICCE MARE,PS,2021-09-01 12:58:57,31/12/1998 00:00:00
2975,408040014,GALEATA,FO,2021-09-01 12:58:58,15/04/1992 00:00:00
3003,408040015,GAMBETTOLA,FO,2021-09-01 12:58:58,15/04/1992 00:00:00
3005,405024044,GAMBUGLIANO,VI,2021-09-01 12:58:58,21/01/2024 00:00:00
3031,408040016,GATTEO,FO,2021-09-01 12:58:58,15/04/1992 00:00:00
3032,401003071,GATTICO,NO,2021-09-01 12:58:58,31/12/2018 00:00:00
3035,401006080,GAVAZZANA,AL,2021-09-01 12:58:58,31/12/2017 00:00:00
3180,411041020,GRADARA,PS,2021-09-01 12:58:59,31/12/1998 00:00:00
3190,401005056,GRANA,AT,2021-09-01 12:58:59,16/01/2023 00:00:00
3318,403097041,INTROZZO,LC,2021-09-01 12:59:00,31/12/2017 00:00:00
3344,411041021,ISOLA DEL PIANO,PS,2021-09-01 12:59:01,31/12/1998 00:00:00
3452,409051019,LATERINA,AR,2021-09-01 12:59:02,31/12/2017 00:00:00
3501,405025028,LENTIAI,BL,2021-09-01 12:59:02,29/01/2019 00:00:00
3541,406030050,LIGOSULLO,UD,2021-09-01 12:59:02,31/01/2018 00:00:00
3608,408040018,LONGIANO,FO,2021-09-01 12:59:03,15/04/1992 00:00:00
3634,401006089,LU,AL,2021-09-01 12:59:03,31/01/2019 00:00:00
3645,401001138,LUGNACCO,TO,2021-09-01 12:59:03,31/12/2018 00:00:00
3655,411041022,LUNANO,PS,2021-09-01 12:59:03,31/12/1998 00:00:00
3673,405024054,LUSIANA,VI,2021-09-01 12:59:03,19/02/2019 00:00:00
3689,411041023,MACERATA FELTRIA,PS,2021-09-01 12:59:03,31/12/1998 00:00:00
3747,403012095,MALGESSO,VA,2021-09-01 12:59:04,31/12/2022 00:00:00
3755,404022111,MALOSCO,TN,2021-09-01 12:59:04,31/12/2019 00:00:00
3885,405024058,MASON VICENTINO,VI,2021-09-01 12:59:05,19/02/2019 00:00:00
3938,405028051,MEGLIADINO SAN FIDENZIO,PD,2021-09-01 12:59:05,16/02/2018 00:00:00
3941,405025034,MEL,BL,2021-09-01 12:59:05,29/01/2019 00:00:00
3944,408040019,MELDOLA,FO,2021-09-01 12:59:05,15/04/1992 00:00:00
3975,411041025,MERCATELLO SUL METAURO,PS,2021-09-01 12:59:06,31/12/1998 00:00:00
3976,411041026,MERCATINO CONCA,PS,2021-09-01 12:59:06,31/12/1998 00:00:00
3978,408040020,MERCATO SARACENO,FO,2021-09-01 12:59:06,15/04/1992 00:00:00
